first_name,last_name,date_of_birth,date_of_death,mother,father,reign_start,reign_end,house,spouse,canonical_name,wikidata_uri,gender
Saint,Margaret of Scotland,1045-01-01,1093-11-22,"Agatha, wife of Edward the Exile",Edward the Exile,,,House of Wessex,Malcolm III of Scotland,Saint Margaret of Scotland (1045–1093),http://www.wikidata.org/entity/Q230507,female
Robert,Curthose,1051-01-01,1134-02-17,Matilda of Flanders,William the Conqueror,,,House of Wessex,Sybilla of Conversano,Robert Curthose (1051–1134),http://www.wikidata.org/entity/Q220994,male
Gytha,of Wessex,1053-01-01,1098-03-10,Edith the Fair,Harold Godwinson,,,House of Wessex,,Gytha of Wessex (1053–1098),http://www.wikidata.org/entity/Q2995934,female
Richard,of Normandy,1054-01-01,1081-01-01,Matilda of Flanders,William the Conqueror,,,House of Wessex,,Richard of Normandy (1054–1081),http://www.wikidata.org/entity/Q3498141,male
Gunhild,of Wessex,1055-01-01,1097-01-01,Edith the Fair,Harold Godwinson,,,House of Wessex,,Gunhild of Wessex (1055–1097),http://www.wikidata.org/entity/Q4365556,female
Cecilia,of Normandy,1056-01-01,1126-07-30,Matilda of Flanders,William the Conqueror,,,House of Wessex,,Cecilia of Normandy (1056–1126),http://www.wikidata.org/entity/Q2120325,female
Agatha,of Normandy,1061-01-01,1079-01-01,Matilda of Flanders,William the Conqueror,,,House of Wessex,Alfonso VI of León and Castile,Agatha of Normandy (1061–1079),http://www.wikidata.org/entity/Q62978447,female
Matilda,of Normandy,1061-01-01,1086-01-01,Matilda of Flanders,William the Conqueror,,,House of Wessex,,Matilda of Normandy (1061–1086),http://www.wikidata.org/entity/Q62978706,female
"Harold,",son of Harold Godwinson,1065-11-30,1097-11-30,Ealdgyth,Harold Godwinson,,,House of Wessex,,"Harold, son of Harold Godwinson (1065–1097)",http://www.wikidata.org/entity/Q56732455,male
"Ulf,",son of Harold Godwinson,1065-11-30,1086-11-30,Edith the Fair,Harold Godwinson,,,House of Wessex,,"Ulf, son of Harold Godwinson (1065–1086)",http://www.wikidata.org/entity/Q56734044,male
Adela,of Normandy,1067-01-01,1137-03-15,Matilda of Flanders,William the Conqueror,,,House of Normandy,Stephen,Adela of Normandy (1067–1137),http://www.wikidata.org/entity/Q237886,female
Henry,I of England,1068-01-01,1135-12-08,Matilda of Flanders,William the Conqueror,1100-08-09,1135-12-08,House of Normandy,Matilda of Scotland,Henry I of England (1068–1135),http://www.wikidata.org/entity/Q101384,male
Richard,de Normandie,1079-01-01,1100-05-01,,Robert Curthose,,,House of Normandy,,Richard de Normandie (1079–1100),http://www.wikidata.org/entity/Q75384550,male
"William,",Lord of Tortosa,1080-01-01,1111-01-01,,Robert Curthose,,,House of Normandy,,"William, Lord of Tortosa (1080–1111)",http://www.wikidata.org/entity/Q75384552,male
Sybilla,of Normandy,1092-01-01,1122-07-19,Sybilla Corbet,Henry I of England,,,House of Normandy,Alexander I of Scotland,Sybilla of Normandy (1092–1122),http://www.wikidata.org/entity/Q2293930,female
"Stephen,",King of England,1095-01-01,1154-11-01,Adela of Normandy,Stephen,1141-11-01,1154-11-01,House of Normandy,,"Stephen, King of England (1095–1154)",http://www.wikidata.org/entity/Q60849,male
Maud,"of Gloucester, Countess of Chester",1101-01-01,1190-08-05,Mabel FitzRobert of Gloucester,"Robert, 1st Earl of Gloucester",,,House of Normandy,"Ranulf de Gernon, 4th Earl of Chester","Maud of Gloucester, Countess of Chester (1101–1190)",http://www.wikidata.org/entity/Q4284808,female
Empress,Matilda,1102-02-07,1167-09-10,Matilda of Scotland,Henry I of England,,,House of Normandy,"Geoffrey Plantagenet, Count of Anjou",Empress Matilda (1102–1167),http://www.wikidata.org/entity/Q150872,female
William,Clito,1102-11-01,1128-08-04,Sybilla of Conversano,Robert Curthose,,,House of Normandy,Sibylla of Anjou,William Clito (1102–1128),http://www.wikidata.org/entity/Q378249,male
William,Adelin,1103-08-12,1120-11-25,Matilda of Scotland,Henry I of England,,,House of Normandy,Matilda of Anjou,William Adelin (1103–1120),http://www.wikidata.org/entity/Q362113,male
"William,",Constable,1110-01-01,1187-01-01,Sybilla Corbet,Henry I of England,,,House of Normandy,,"William, Constable (1110–1187)",http://www.wikidata.org/entity/Q75384502,male
Reginald,"de Dunstanville, 1st Earl of Cornwall",1110-01-01,1175-07-01,Sybilla Corbet,Henry I of England,,,House of Normandy,Beatrice FitzRichard,"Reginald de Dunstanville, 1st Earl of Cornwall (1110–1175)",http://www.wikidata.org/entity/Q1363727,male
William,"Fitz Robert, 2nd Earl of Gloucester",1112-11-30,1183-11-30,Mabel FitzRobert of Gloucester,"Robert, 1st Earl of Gloucester",,,House of Normandy,Hawise de Beaumont,"William Fitz Robert, 2nd Earl of Gloucester (1112–1183)",http://www.wikidata.org/entity/Q330360,male
Grace,de Tracy,1113-01-01,1140-01-01,,William de Tracy,,,House of Normandy,John of Sudeley,Grace de Tracy (1113–1140),http://www.wikidata.org/entity/Q75290285,female
Nicholas,de Dunstanville,1128-01-01,1175-01-01,Beatrice FitzRichard,"Reginald de Dunstanville, 1st Earl of Cornwall",,,House of Normandy,,Nicholas de Dunstanville (1128–1175),http://www.wikidata.org/entity/Q75384505,male
Eustace,"IV, Count of Boulogne",1129-01-01,1153-08-24,Matilda of Boulogne,"Stephen, King of England",,,House of Normandy,"Constance of France, Countess of Toulouse","Eustace IV, Count of Boulogne (1129–1153)",http://www.wikidata.org/entity/Q447522,male
William,"I, Count of Boulogne",1130-01-01,1159-10-11,Matilda of Boulogne,"Stephen, King of England",,,House of Normandy,"Isabel de Warenne, Countess of Surrey","William I, Count of Boulogne (1130–1159)",http://www.wikidata.org/entity/Q456846,male
Baldwin,de Boulogne,1133-01-01,1135-12-02,Matilda of Boulogne,"Stephen, King of England",,,House of Normandy,,Baldwin de Boulogne (1133–1135),http://www.wikidata.org/entity/Q75382118,male
Henry,II of England,1133-03-12,1189-07-13,Empress Matilda,"Geoffrey Plantagenet, Count of Anjou",1154-12-26,1189-07-13,House of Plantagenet,,Henry II of England (1133–1189),http://www.wikidata.org/entity/Q102140,male
Roger,of Worcester,1134-01-01,1179-08-09,Mabel FitzRobert of Gloucester,"Robert, 1st Earl of Gloucester",,,House of Normandy,,Roger of Worcester (1134–1179),http://www.wikidata.org/entity/Q7264654,male
Marie,"I, Countess of Boulogne",1136-01-01,1182-08-01,Matilda of Boulogne,"Stephen, King of England",,,House of Normandy,Matthew of Alsace,"Marie I, Countess of Boulogne (1136–1182)",http://www.wikidata.org/entity/Q237900,female
Morgan,,1150-01-01,1217-01-01,Nest Bloet,Henry II of England,,,House of Normandy,,Morgan (1150–1217),http://www.wikidata.org/entity/Q11989934,male
Henry,fitz Count,1150-01-01,1222-01-01,Beatrice de Vaux,"Reginald de Dunstanville, 1st Earl of Cornwall",,,House of Normandy,,Henry fitz Count (1150–1222),http://www.wikidata.org/entity/Q18576308,male
Geoffrey,,1152-01-01,1212-12-19,Ykenai,Henry II of England,,,House of Normandy,,Geoffrey (1152–1212),http://www.wikidata.org/entity/Q1357271,male
William,"IX, Count of Poitiers",1153-08-17,1156-04-01,Eleanor of Aquitaine,Henry II of England,,,House of Normandy,,"William IX, Count of Poitiers (1153–1156)",http://www.wikidata.org/entity/Q719148,male
Henry,the Young King,1155-03-07,1183-06-18,Eleanor of Aquitaine,Henry II of England,,,House of Plantagenet,Margaret of France,Henry the Young King (1155–1183),http://www.wikidata.org/entity/Q235238,male
Matilda,"of England, Duchess of Saxony",1156-01-01,1189-07-05,Eleanor of Aquitaine,Henry II of England,,,House of Plantagenet,Henry the Lion,"Matilda of England, Duchess of Saxony (1156–1189)",http://www.wikidata.org/entity/Q235484,female
Richard,I of England,1157-09-15,1199-04-13,Eleanor of Aquitaine,Henry II of England,1189-09-10,1199-04-13,House of Plantagenet,Berengaria of Navarre,Richard I of England (1157–1199),http://www.wikidata.org/entity/Q42305,male
Geoffrey,II,1158-09-30,1186-08-26,Eleanor of Aquitaine,Henry II of England,,,House of Plantagenet,"Constance, duchess of Brittany",Geoffrey II (1158–1186),http://www.wikidata.org/entity/Q314550,male
Eleanor,of England,1161-09-01,1214-11-07,Eleanor of Aquitaine,Henry II of England,,,House of Plantagenet,Alfonso VIII of Castile,Eleanor of England (1161–1214),http://www.wikidata.org/entity/Q232144,female
Joan,of England,1165-10-01,1199-10-01,Eleanor of Aquitaine,Henry II of England,,,House of Plantagenet,"Raymond VI, Count of Toulouse",Joan of England (1165–1199),http://www.wikidata.org/entity/Q235418,female
"John,",King of England,1166-12-31,1216-10-26,Eleanor of Aquitaine,Henry II of England,1199-04-13,1216-10-26,House of Plantagenet,Isabella of Angoulême,"John, King of England (1166–1216)",http://www.wikidata.org/entity/Q129308,male
William,"Longespée, 3rd Earl of Salisbury",1176-01-01,1226-03-14,Ida de Tosny,Henry II of England,,,House of Plantagenet,"Ela of Salisbury, 3rd Countess of Salisbury","William Longespée, 3rd Earl of Salisbury (1176–1226)",http://www.wikidata.org/entity/Q1121970,male
William,of England,1177-06-19,1177-06-22,Margaret of France,Henry the Young King,,,House of Plantagenet,,William of England (1177–1177),http://www.wikidata.org/entity/Q75384441,male
"Eleanor,",Fair Maid of Brittany,1182-01-01,1241-08-10,"Constance, duchess of Brittany",Geoffrey II,,,House of Plantagenet,,"Eleanor, Fair Maid of Brittany (1182–1241)",http://www.wikidata.org/entity/Q1091197,female
Arthur,I,1187-04-05,1203-04-10,"Constance, duchess of Brittany",Geoffrey II,,,House of Plantagenet,,Arthur I (1187–1203),http://www.wikidata.org/entity/Q363800,male
"Joan,",Lady of Wales,1191-01-01,1237-02-09,Clementia,"John, King of England",,,House of Plantagenet,Llywelyn ab Iorwerth,"Joan, Lady of Wales (1191–1237)",http://www.wikidata.org/entity/Q1091368,female
William,II Longespée,1204-01-01,1250-02-08,"Ela of Salisbury, 3rd Countess of Salisbury","William Longespée, 3rd Earl of Salisbury",,,House of Plantagenet,Idoine de Camville,William II Longespée (1204–1250),http://www.wikidata.org/entity/Q2493013,male
Ela,Longespée,1205-01-01,1298-02-09,"Ela of Salisbury, 3rd Countess of Salisbury","William Longespée, 3rd Earl of Salisbury",,,House of Plantagenet,"Thomas de Beaumont, 6th Earl of Warwick",Ela Longespée (1205–1298),http://www.wikidata.org/entity/Q44817184,female
Henry,III of England,1207-10-08,1272-11-23,Isabella of Angoulême,"John, King of England",1216-11-04,1272-11-23,House of Plantagenet,Eleanor of Provence,Henry III of England (1207–1272),http://www.wikidata.org/entity/Q160311,male
Richard,de Douvres,1208-01-01,1247-09-26,Rose de Douvres,Richard FitzRoy,,,House of Plantagenet,"Matilda, Countess of Angus",Richard de Douvres (1208–1247),http://www.wikidata.org/entity/Q75389420,male
"Richard,",1st Earl of Cornwall,1209-01-12,1272-04-09,Isabella of Angoulême,"John, King of England",,,House of Plantagenet,Sanchia of Provence,"Richard, 1st Earl of Cornwall (1209–1272)",http://www.wikidata.org/entity/Q314527,male
Joan,of England,1210-07-29,1238-03-11,Isabella of Angoulême,"John, King of England",,,House of Plantagenet,Alexander II of Scotland,Joan of England (1210–1238),http://www.wikidata.org/entity/Q242287,female
Isabella,of England,1214-01-01,1241-12-08,Isabella of Angoulême,"John, King of England",,,House of Plantagenet,"Frederick II, Holy Roman Emperor",Isabella of England (1214–1241),http://www.wikidata.org/entity/Q237858,female
Eleanor,of Leicester,1215-01-01,1275-04-20,Isabella of Angoulême,"John, King of England",,,House of Plantagenet,"Simon de Montfort, 6th Earl of Leicester",Eleanor of Leicester (1215–1275),http://www.wikidata.org/entity/Q271382,female
Stephen,Longespée,1216-01-01,1260-01-01,"Ela of Salisbury, 3rd Countess of Salisbury","William Longespée, 3rd Earl of Salisbury",,,House of Plantagenet,Emeline de Ridelsford,Stephen Longespée (1216–1260),http://www.wikidata.org/entity/Q24058953,male
Lorette,de Dover,1232-01-01,1275-01-01,Rose de Douvres,Richard FitzRoy,,,House of Plantagenet,"Sir William Marmion, of Tanfield",Lorette de Dover (1232–1275),http://www.wikidata.org/entity/Q100153763,female
John,of Cornwall,1232-01-31,1233-09-22,Isabel Marshal,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,,John of Cornwall (1232–1233),http://www.wikidata.org/entity/Q75384367,male
Isabella,of Cornwall,1233-09-09,1234-10-10,Isabel Marshal,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,,Isabella of Cornwall (1233–1234),http://www.wikidata.org/entity/Q75384368,female
Henry,of Almain,1235-11-02,1271-03-13,Isabel Marshal,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,Constance of Béarn,Henry of Almain (1235–1271),http://www.wikidata.org/entity/Q949207,male
Edward,I of England,1239-06-24,1307-07-15,Eleanor of Provence,Henry III of England,1272-11-23,1307-07-15,House of Plantagenet,Eleanor of Castile,Edward I of England (1239–1307),http://www.wikidata.org/entity/Q57798,male
Nicholas,of Cornwall,1240-01-17,1240-01-17,Isabel Marshal,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,,Nicholas of Cornwall (1240–1240),http://www.wikidata.org/entity/Q75384370,male
Margaret,of England,1240-10-06,1275-03-05,Eleanor of Provence,Henry III of England,,,House of Plantagenet,Alexander III of Scotland,Margaret of England (1240–1275),http://www.wikidata.org/entity/Q242317,female
Beatrice,of England,1242-07-01,1275-03-31,Eleanor of Provence,Henry III of England,,,House of Plantagenet,"John II, Duke of Brittany",Beatrice of England (1242–1275),http://www.wikidata.org/entity/Q242344,female
Edmund,Crouchback,1245-01-23,1296-06-12,Eleanor of Provence,Henry III of England,,,House of Plantagenet,Blanche of Artois,Edmund Crouchback (1245–1296),http://www.wikidata.org/entity/Q447802,male
Richard,of Cornwall,1246-07-01,1246-08-15,Sanchia of Provence,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,,Richard of Cornwall (1246–1246),http://www.wikidata.org/entity/Q75382443,male
Nicholas,Longespee,1250-01-01,1297-05-25,"Ela of Salisbury, 3rd Countess of Salisbury","William Longespée, 3rd Earl of Salisbury",,,House of Plantagenet,,Nicholas Longespee (1250–1297),http://www.wikidata.org/entity/Q7025792,male
"Edmund,",2nd Earl of Cornwall,1250-01-02,1300-01-01,Sanchia of Provence,"Richard, 1st Earl of Cornwall",,,House of Plantagenet,Margaret de Clare,"Edmund, 2nd Earl of Cornwall (1250–1300)",http://www.wikidata.org/entity/Q283151,male
Katherine,of England,1253-12-02,1257-05-10,Eleanor of Provence,Henry III of England,,,House of Plantagenet,,Katherine of England (1253–1257),http://www.wikidata.org/entity/Q4214826,female
John,of England,1266-07-10,1271-08-03,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,John of England (1266–1271),http://www.wikidata.org/entity/Q75382060,male
Henry,of England,1268-05-13,1274-10-14,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,Henry of England (1268–1274),http://www.wikidata.org/entity/Q361793,male
Eleanor,"of England, Countess of Bar",1269-06-18,1297-10-19,Eleanor of Castile,Edward I of England,,,House of Plantagenet,Alfonso III of Aragon,"Eleanor of England, Countess of Bar (1269–1297)",http://www.wikidata.org/entity/Q292321,female
Juliana,of England,1271-01-01,1271-05-28,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,Juliana of England (1271–1271),http://www.wikidata.org/entity/Q75382063,female
Joan,of Acre,1272-01-01,1307-05-01,Eleanor of Castile,Edward I of England,,,House of Plantagenet,"Gilbert de Clare, 7th Earl of Gloucester",Joan of Acre (1272–1307),http://www.wikidata.org/entity/Q257968,female
"Alphonso,",Earl of Chester,1273-12-01,1284-08-26,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,"Alphonso, Earl of Chester (1273–1284)",http://www.wikidata.org/entity/Q1475199,male
Margaret,of England,1275-09-18,1318-01-01,Eleanor of Castile,Edward I of England,,,House of Plantagenet,John II,Margaret of England (1275–1318),http://www.wikidata.org/entity/Q2667593,female
Berengaria,of England,1276-01-01,1278-06-27,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,Berengaria of England (1276–1278),http://www.wikidata.org/entity/Q75382064,female
"Thomas,",2nd Earl of Lancaster,1278-01-01,1322-03-22,Blanche of Artois,Edmund Crouchback,,,House of Plantagenet,"Alice de Lacy, 3rd Countess of Lincoln","Thomas, 2nd Earl of Lancaster (1278–1322)",http://www.wikidata.org/entity/Q249183,male
Mary,of Woodstock,1278-03-18,1332-01-01,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,Mary of Woodstock (1278–1332),http://www.wikidata.org/entity/Q4216185,female
Alice,of England,1279-03-12,1291-01-01,Eleanor of Castile,Edward I of England,,,House of Plantagenet,,Alice of England (1279–1291),http://www.wikidata.org/entity/Q75241982,female
"Henry,",3rd Earl of Lancaster,1281-01-01,1345-09-30,Blanche of Artois,Edmund Crouchback,,,House of Plantagenet,Maud Chaworth,"Henry, 3rd Earl of Lancaster (1281–1345)",http://www.wikidata.org/entity/Q950456,male
Elizabeth,of Rhuddlan,1282-08-14,1316-05-13,Eleanor of Castile,Edward I of England,,,House of Plantagenet,"John I, Count of Holland",Elizabeth of Rhuddlan (1282–1316),http://www.wikidata.org/entity/Q2435894,female
Edward,II of England,1284-05-02,1327-09-29,Eleanor of Castile,Edward I of England,1307-07-15,1327-02-02,House of Plantagenet,Isabella of France,Edward II of England (1284–1327),http://www.wikidata.org/entity/Q5236,male
Mary,Plantagenet,1288-01-01,1295-01-01,Blanche of Artois,Edmund Crouchback,,,House of Plantagenet,,Mary Plantagenet (1288–1295),http://www.wikidata.org/entity/Q75384358,female
Thomas,"of Brotherton, 1st Earl of Norfolk",1300-06-09,1338-01-01,Margaret of France,Edward I of England,,,House of Plantagenet,Alice Hayles,"Thomas of Brotherton, 1st Earl of Norfolk (1300–1338)",http://www.wikidata.org/entity/Q1363323,male
Edmund,"of Woodstock, 1st Earl of Kent",1301-08-13,1330-03-27,Margaret of France,Edward I of England,,,House of Plantagenet,"Margaret Wake, 3rd Baroness Wake of Liddell","Edmund of Woodstock, 1st Earl of Kent (1301–1330)",http://www.wikidata.org/entity/Q956563,male
Eleanor,of England,1306-05-04,1311-01-01,Margaret of France,Edward I of England,,,House of Plantagenet,,Eleanor of England (1306–1311),http://www.wikidata.org/entity/Q30703734,female
Edward,III of England,1312-11-21,1377-06-29,Isabella of France,Edward II of England,1327-02-02,1377-06-29,House of Plantagenet,Philippa of Hainault,Edward III of England (1312–1377),http://www.wikidata.org/entity/Q129247,male
John,"of Eltham, Earl of Cornwall",1316-08-15,1336-09-21,Isabella of France,Edward II of England,,,House of Plantagenet,,"John of Eltham, Earl of Cornwall (1316–1336)",http://www.wikidata.org/entity/Q561807,male
Eleanor,of Woodstock,1318-06-26,1355-04-30,Isabella of France,Edward II of England,,,House of Plantagenet,"Reginald II, Duke of Guelders",Eleanor of Woodstock (1318–1355),http://www.wikidata.org/entity/Q447129,female
"Margaret,",Duchess of Norfolk,1320-01-01,1399-04-01,Alice Hayles,"Thomas of Brotherton, 1st Earl of Norfolk",,,House of Plantagenet,"Walter de Manny, 1st Baron Manny","Margaret, Duchess of Norfolk (1320–1399)",http://www.wikidata.org/entity/Q2559464,female
Edward,of Norfolk,1320-01-01,1334-08-17,Alice Hayles,"Thomas of Brotherton, 1st Earl of Norfolk",,,House of Plantagenet,Beatrice Mortimer,Edward of Norfolk (1320–1334),http://www.wikidata.org/entity/Q16834711,male
Joan,of The Tower,1321-07-13,1362-09-15,Isabella of France,Edward II of England,,,House of Plantagenet,David II of Scotland,Joan of The Tower (1321–1362),http://www.wikidata.org/entity/Q242322,female
Alice,of Norfolk,1324-01-01,1351-11-01,Alice Hayles,"Thomas of Brotherton, 1st Earl of Norfolk",,,House of Plantagenet,"Edward Montagu, 1st Baron Montagu",Alice of Norfolk (1324–1351),http://www.wikidata.org/entity/Q4726198,female
Joan,of Kent,1327-10-07,1385-08-15,"Margaret Wake, 3rd Baroness Wake of Liddell","Edmund of Woodstock, 1st Earl of Kent",,,House of Plantagenet,"Edward, the Black Prince",Joan of Kent (1327–1385),http://www.wikidata.org/entity/Q234156,female
"John,",3rd Earl of Kent,1330-04-07,1352-12-26,"Margaret Wake, 3rd Baroness Wake of Liddell","Edmund of Woodstock, 1st Earl of Kent",,,House of Plantagenet,Isabella von Jülich,"John, 3rd Earl of Kent (1330–1352)",http://www.wikidata.org/entity/Q2052929,male
"Edward,",the Black Prince,1330-06-23,1376-06-16,Philippa of Hainault,Edward III of England,,,House of Plantagenet,Joan of Kent,"Edward, the Black Prince (1330–1376)",http://www.wikidata.org/entity/Q184854,male
